我的商店广告报告 - Shopee 马来西亚
用户名称:,kuca1.my
报告创建时间：,23/03/2023 23:12
时间：,22/03/2023 - 22/03/2023
商店ID:,833005508

排序,广告名称,状态,商品编号,广告类型,关键字/展示位置,匹配类型,搜寻结果,手动/自动,开始日期,结束日期,浏览数,点击数,点击率,平均排名,转化,直接转化,转化率,直接转化率,每点击成本,每一转化的成本,每一直接转化的成本,商品已出售,直接已售商品,销售金额,直接销售金额,花费,投资产出比,直接投资产出比,成本收入对比,直接成本收入对比,商品浏览数,商品点击数,商品点击率
29,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,small table,广泛匹配,table foldable,手动,02/11/2022 00:00,无限制,8,3,37.50%,2.125,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
30,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,kerusi gaming,广泛匹配,Red Bull Gaming Chair,手动,02/11/2022 00:00,无限制,5,3,60.00%,7.6,0,0,0.00%,0.00%,0.19,0.00,0.00,0,0,0.00,0.00,0.58,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
31,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer baju,精准匹配,Drawer baju,手动,09/12/2022 00:00,无限制,51,2,3.92%,4.294117647058823,0,0,0.00%,0.00%,0.21,0.00,0.00,0,0,0.00,0.00,0.42,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
32,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,rak kasut bertutup,精准匹配,rak kasut bertutup,手动,28/10/2022 00:00,无限制,47,2,4.26%,8.0,0,0,0.00%,0.00%,0.29,0.00,0.00,0,0,0.00,0.00,0.59,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
33,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,study table,广泛匹配,study table,手动,02/11/2022 00:00,无限制,46,2,4.35%,9.0,0,0,0.00%,0.00%,0.48,0.00,0.00,0,0,0.00,0.00,0.96,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
34,KUCA kerusi gaming big eared dog gaming chair ergonomic chair with footrest office chair computer chair kerusi pejabat,正常,18954466997,商品搜索广告,computer chair,广泛匹配,Chair,手动,02/11/2022 00:00,无限制,38,2,5.26%,18.5,0,0,0.00%,0.00%,0.24,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
35,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,drawer cabinet,广泛匹配,drawer,手动,09/12/2022 00:00,无限制,35,2,5.71%,9.971428571428572,0,0,0.00%,0.00%,0.15,0.00,0.00,0,0,0.00,0.00,0.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
36,3 Adjustable speeds ! 4in1 KUCA small table Adjustable height 28-35cm laptop table foldable table study table use a table in bed meja belajar meja lipat meja study,正常,19654742951,商品搜索广告,small table,广泛匹配,small table,手动,02/11/2022 00:00,无限制,34,2,5.88%,7.117647058823529,0,0,0.00%,0.00%,0.49,0.00,0.00,0,0,0.00,0.00,0.98,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
37,Buy 1 take 1!KUCA Drawer Upgraded 52CM wardrobe oversized baby drawer Wardrobe Storage box Home Organizer Wardrobe almari baju budak almari baju murah,正常,10098011012,商品搜索广告,storage box,广泛匹配,Storage box,手动,09/12/2022 00:00,无限制,33,2,6.06%,11.878787878787879,0,0,0.00%,0.00%,0.22,0.00,0.00,0,0,0.00,0.00,0.44,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
38,2in1 KUCA Super-thin shoe cabinet Large Capacity Shoe rack cabinet Multi-layer Shoe Rack Home space saving Shoe Shelf Storage almari kasut almari kasut bertutup murah,正常,19249592182,商品搜索广告,shoe rack cabinet,广泛匹配,shoe rack cabinet,手动,28/10/2022 00:00,无限制,29,2,6.90%,8.172413793103448,0,0,0.00%,0.00%,0.29,0.00,0.00,0,0,0.00,0.00,0.59,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
